"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Small Worlds.nlogo"
"vary-rewiring-probability"
"05/21/2024 17:14:12:169 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","rewiring-probability","[step]","average-path-length","clustering-coefficient"
"4","0.0031","1","12.878787878787879","0.5"
"1","1.0E-4","1","12.878787878787879","0.5"
"2","0.0011","1","10.366464646464646","0.49633333333333335"
"3","0.0021","1","12.878787878787879","0.5"
"5","0.0041","1","9.593939393939394","0.4823333333333333"
"6","0.0051","1","9.370909090909091","0.4933333333333333"
"7","0.0061","1","10.812929292929294","0.48966666666666664"
"9","0.0081","1","12.497979797979799","0.48966666666666664"
"8","0.0071","1","11.375353535353536","0.4903333333333334"
"10","0.0091","1","10.5","0.49633333333333335"
"11","0.0101","1","9.060404040404041","0.48666666666666664"
"12","0.0111","1","10.382020202020202","0.4896666666666667"
"13","0.0121","1","11.234141414141414","0.49633333333333324"
"14","0.0131","1","9.464444444444444","0.48233333333333334"
"15","0.0141","1","7.926060606060606","0.48966666666666675"
"17","0.0161","1","9.295353535353536","0.4793333333333333"
"16","0.0151","1","8.104040404040404","0.48333333333333345"
"18","0.0171","1","7.999393939393939","0.4763333333333334"
"20","0.0191","1","11.257373737373737","0.4896666666666667"
"19","0.0181","1","10.646060606060606","0.4963333333333334"
"23","0.0221","1","6.695555555555556","0.45833333333333326"
"22","0.0211","1","6.447878787878788","0.461"
"21","0.0201","1","5.917171717171717","0.4383333333333336"
"24","0.0231","1","5.912525252525253","0.41166666666666674"
"27","0.0261","1","8.384848484848485","0.48066666666666663"
"26","0.0251","1","7.309292929292929","0.4666666666666666"
"25","0.0241","1","10.19939393939394","0.4896666666666667"
"28","0.0271","1","8.172525252525253","0.4756666666666667"
"29","0.0281","1","7.105656565656566","0.4756666666666666"
"30","0.0291","1","7.664040404040404","0.4720000000000001"
"32","0.0311","1","7.776161616161616","0.4786666666666667"
"33","0.0321","1","7.833939393939394","0.48533333333333334"
"31","0.0301","1","9.834747474747475","0.486"
"34","0.0331","1","6.555959595959596","0.442"
"35","0.0341","1","6.667474747474747","0.44666666666666666"
"36","0.0351","1","6.7414141414141415","0.46366666666666667"
"40","0.0391","1","5.781818181818182","0.44266666666666665"
"39","0.0381","1","6.374343434343435","0.4483333333333334"
"38","0.0371","1","6.595555555555555","0.4533333333333334"
"37","0.0361","1","7.351313131313131","0.47200000000000003"
"41","0.0401","1","5.7272727272727275","0.42533333333333323"
"42","0.0411","1","6.143030303030303","0.44933333333333336"
"44","0.0431","1","6.345252525252525","0.46266666666666667"
"43","0.0421","1","7.365252525252525","0.4450000000000001"
"45","0.0441","1","5.592121212121212","0.44"
"46","0.0451","1","6.677575757575758","0.445"
"47","0.0461","1","6.390909090909091","0.433"
"48","0.0471","1","6.271717171717172","0.4466666666666667"
"49","0.0481","1","5.991313131313131","0.43000000000000005"
"50","0.0491","1","6.4793939393939395","0.43866666666666665"
"52","0.0511","1","5.921212121212121","0.4546666666666666"
"51","0.0501","1","7.943636363636363","0.4413333333333334"
"53","0.0521","1","6.410707070707071","0.4506666666666666"
"54","0.0531","1","5.981212121212121","0.4423333333333332"
"55","0.0541","1","6.641414141414141","0.44466666666666677"
"56","0.0551","1","6.444242424242424","0.3966666666666667"
"57","0.0561","1","6.515353535353535","0.4236666666666667"
"58","0.0571","1","5.579595959595959","0.4173333333333333"
"59","0.0581","1","7.876161616161617","0.45966666666666667"
"60","0.0591","1","4.781414141414142","0.3843333333333333"
"62","0.0611","1","6.173939393939394","0.45633333333333326"
"61","0.0601","1","5.785252525252525","0.43033333333333323"
"63","0.0621","1","4.853535353535354","0.37900000000000006"
"64","0.0631","1","6.121616161616162","0.44066666666666676"
"65","0.0641","1","6.09979797979798","0.4196666666666667"
"66","0.0651","1","6.6042424242424245","0.4093333333333334"
"67","0.0661","1","5.263838383838384","0.39166666666666666"
"68","0.0671","1","5.982020202020202","0.4380000000000001"
"69","0.0681","1","5.650909090909091","0.40800000000000003"
"70","0.0691","1","5.705858585858586","0.41866666666666674"
"71","0.0701","1","5.113939393939394","0.3563333333333334"
"72","0.0711","1","5.373737373737374","0.4346666666666666"
"73","0.0721","1","5.456767676767677","0.40766666666666684"
"74","0.0731","1","8.816565656565656","0.4593333333333332"
"75","0.0741","1","5.3822222222222225","0.39499999999999985"
"76","0.0751","1","5.705050505050505","0.4146666666666667"
"77","0.0761","1","5.361818181818182","0.39233333333333337"
"79","0.0781","1","5.72","0.4193333333333334"
"80","0.0791","1","4.8816161616161615","0.34442857142857136"
"78","0.0771","1","6.0519191919191915","0.4160000000000002"
